surface,reading,reading_seion,reading_search,count_hira
軟膏,なんこー,なんこー,こー,4
盆地,ぼんち,ほんち,んち,3
たこやき,たこやき,たこやき,やき,4
沿道,えんどー,えんとー,とー,4
ユッカ,ゆっか,ゆっか,っか,3
けまり,けまり,けまり,まり,3
針,はり,はり,はり,2
しまかげ,しまかげ,しまかけ,かけ,4
一夜漬,いちやずけ,いちやすけ,すけ,5
ハイティーン,はいてぃーん,はいてぃーん,ーん,6
割印,わりいん,わりいん,いん,4
染付け,そめつけ,そめつけ,つけ,4
煤,すす,すす,すす,2
氷塊,ひょーかい,ひょーかい,かい,5
我利我利,がりがり,かりかり,かり,4
手あみ,てあみ,てあみ,あみ,3
目の下,めのした,めのした,した,4
総ざらい,そーざらい,そーさらい,らい,5
他生の縁,たしょーのえん,たしょーのえん,えん,7
円周,えんしゅー,えんしゅー,ゅー,5
薫風,くんぷー,くんふー,ふー,4
蝿帳,はいちょー,はいちょー,ょー,5
初っ端,しょっぱな,しょっはな,はな,5
エレクトロン,えれくとろん,えれくとろん,ろん,6
多肉植物,たにくしょくぶつ,たにくしょくふつ,ふつ,8
コウナゴ,こーなご,こーなこ,なこ,4
三枚,さんまい,さんまい,まい,4
モーターバイク,もーたーばいく,もーたーはいく,いく,7
ラベンダー,らべんだー,らへんたー,たー,5
下陰,したかげ,したかけ,かけ,4
綾,あや,あや,あや,2
室内楽,しつないがく,しつないかく,かく,6
焼串,やきぐし,やきくし,くし,4
僻陬,へきすー,へきすー,すー,4
惨烈,さんれつ,さんれつ,れつ,4
処処,しょしょ,しょしょ,しょ,4
ディスカウント,でぃすかうんと,てぃすかうんと,んと,7
無精卵,むせいらん,むせいらん,らん,5
悲話,ひわ,ひわ,ひわ,2
水痘,すいとー,すいとー,とー,4
盥,たらい,たらい,らい,3
仕込,しこみ,しこみ,こみ,3
民俗,みんぞく,みんそく,そく,4
クローネ,くろーね,くろーね,ーね,4
天声,てんせい,てんせい,せい,4
塩引,しおびき,しおひき,ひき,4
暴対法,ぼーたいほー,ほーたいほー,ほー,6
鉄片,てっぺん,てっへん,へん,4
大柄,おーがら,おーから,から,4
畳,たたみ,たたみ,たみ,3
