surface,reading,reading_seion,reading_search,count_hira
司津子,しずこ,しすこ,すこ,3
邊見,へんみ,へんみ,んみ,3
珍田,ちんだ,ちんた,んた,3
官平,かんぺい,かんへい,へい,4
出川,でがわ,てかわ,かわ,3
天,たかし,たかし,かし,3
謙司,けんじ,けんし,んし,3
ピエルス,ぴえるす,ひえるす,るす,4
南,みなみ,みなみ,なみ,3
なり子,なりこ,なりこ,りこ,3
円子,まるこ,まるこ,るこ,3
吉泉,よしいずみ,よしいすみ,すみ,5
素一郎,そいちろー,そいちろー,ろー,5
車山,くるまやま,くるまやま,やま,5
としのり,としのり,としのり,のり,4
露那,つゆな,つゆな,ゆな,3
和気清麻呂,わけのきよまろ,わけのきよまろ,まろ,7
弘巳,ひろみ,ひろみ,ろみ,3
利秀,としひで,としひて,ひて,4
勇三郎,ゆーさぶろー,ゆーさふろー,ろー,6
綱川,つなかわ,つなかわ,かわ,4
宗輔,そーすけ,そーすけ,すけ,4
鎮目,しずめ,しすめ,すめ,3
友恵,ともえ,ともえ,もえ,3
来生,きすぎ,きすき,すき,3
鶴代,つるよ,つるよ,るよ,3
俊朗,としろー,としろー,ろー,4
米藏,よねぞー,よねそー,そー,4
未希,みき,みき,みき,2
桂銀淑,けいうんすく,けいうんすく,すく,6
一春,かずはる,かすはる,はる,4
斉昭,なりあき,なりあき,あき,4
マコーマック,まこーまっく,まこーまっく,っく,6
小波,さざなみ,ささなみ,なみ,4
小波,さなみ,さなみ,なみ,3
関屋,せきや,せきや,きや,3
勝又,かつまた,かつまた,また,4
信友,のぶとも,のふとも,とも,4
