surface,reading,reading_seion,reading_search,count_hira
リンクス,りんくす,りんくす,くす,4
ヨシカワ,よしかわ,よしかわ,かわ,4
鶴崎海陸運輸,つるさきかいりくうんゆ,つるさきかいりくうんゆ,んゆ,11
二松学舎大,にしょーがくしゃだい,にしょーかくしゃたい,たい,10
宮崎産業経営大学,みやざきさんぎょーけいえいだいがく,みやさきさんきょーけいえいたいかく,かく,17
三井,みつい,みつい,つい,3
ソフトピアジャパン,そふとぴあじゃぱん,そふとひあしゃはん,はん,9
今仙電機製作所,いませんでんきせいさくしょ,いませんてんきせいさくしょ,しょ,13
どん,どん,とん,とん,2
愛誠病院,あいせいびょーいん,あいせいひょーいん,いん,9
大阪樟蔭女子大,おーさかしょーいんじょしだい,おーさかしょーいんしょしたい,たい,14
ＵＮＥＰ,ゆーえぬいーぴー,ゆーえぬいーひー,ひー,8
市邨学園中学校,いちむらがくえんちゅーがっこー,いちむらかくえんちゅーかっこー,こー,15
不識書院,ふしきしょいん,ふしきしょいん,いん,7
ツカサ工業,つかさこーぎょー,つかさこーきょー,ょー,8
小林電子産業,こばやしでんしさんぎょー,こはやしてんしさんきょー,ょー,12
北見工業大学,きたみこーぎょーだいがく,きたみこーきょーたいかく,かく,12
東プレ,とーぷれ,とーふれ,ふれ,4
ハリカ,はりか,はりか,りか,3
ミサワ衛星放送,みさわえいせいほーそー,みさわえいせいほーそー,そー,11
愛知松下ライフエレクトロニクス,あいちまつしたらいふえれくとろにくす,あいちまつしたらいふえれくとろにくす,くす,18
三浦印刷,みうらいんさつ,みうらいんさつ,さつ,7
千代田機工,ちよだきこー,ちよたきこー,こー,6
住銀保証,すみぎんほしょー,すみきんほしょー,ょー,8
釧路地方法務局,くしろちほーほーむきょく,くしろちほーほーむきょく,ょく,12
自衛隊,じえいたい,しえいたい,たい,5
環境衛生科学研究所,かんきょーえいせいかがくけんきゅーじょ,かんきょーえいせいかかくけんきゅーしょ,しょ,19
コマツゼノア,こまつぜのあ,こまつぜのあ,のあ,6
那須ビューホテル,なすびゅーほてる,なすひゅーほてる,てる,8
アポロ社,あぽろしゃ,あほろしゃ,しゃ,5
呉竹精昇堂,くれたけせいしょーどー,くれたけせいしょーとー,とー,11
天満屋,てんまや,てんまや,まや,4
全新研,ぜんしんけん,ぜんしんけん,けん,6
日本レダリー,にほんれだりー,にほんれたりー,りー,7
兼房,かねふさ,かねふさ,ふさ,4
華服飾専門学校,はなふくしょくせんもんがっこー,はなふくしょくせんもんかっこー,こー,15
図情大,とじょーだい,としょーたい,たい,6
東武トラベル,とーぶとらべる,とーふとらへる,へる,7
東亜電波工業,とーあでんぱこーぎょー,とーあてんはこーきょー,ょー,11
日伝,にちでん,にちてん,てん,4
潮出版社,うしおしゅっぱんしゃ,うしおしゅっはんしゃ,しゃ,10
芸陽信用金庫,げいよーしんよーきんこ,けいよーしんよーきんこ,んこ,11
平塚共済病院,ひらつかきょーさいびょーいん,ひらつかきょーさいひょーいん,いん,14
セコム工業,せこむこーぎょー,せこむこーきょー,ょー,8
日精浦和,にっせいうらわ,にっせいうらわ,らわ,7
小倉クラッチ,おぐらくらっち,おくらくらっち,っち,7
愛知診断技術振興財団,あいちしんだんぎじゅつしんこーざいだん,あいちしんたんきしゅつしんこーさいたん,たん,19
東京通信工業,とーきょーつーしんこーぎょー,とーきょーつーしんこーきょー,ょー,14
三輝工業,さんきこーぎょー,さんきこーきょー,ょー,8
志村化工,しむらかこー,しむらかこー,こー,6
若築建設,わかちくけんせつ,わかちくけんせつ,せつ,8
海協会,かいきょーかい,かいきょーかい,かい,7
サンマルク,さんまるく,さんまるく,るく,5
富山市民病院,とやましみんびょーいん,とやましみんひょーいん,いん,11
中村学園大,なかむらがくえんだい,なかむらかくえんたい,たい,10
シナノケンシ,しなのけんし,しなのけんし,んし,6
日本女子体育大学,にほんじょしたいいくだいがく,にほんしょしたいいくたいかく,かく,14
鹿児島労働金庫,かごしまろーどーきんこ,かこしまろーとーきんこ,んこ,11
アメリカン・エキスプレス・インターナショナル,あめりかんえきすぷれすいんたーなしょなる,あめりかんえきすふれすいんたーなしょなる,なる,20
福間スポーツ,ふくますぽーつ,ふくますほーつ,ーつ,7
大阪府立大,おーさかふりつだい,おーさかふりつたい,たい,9
マルフク事業,まるふくじぎょー,まるふくしきょー,ょー,8
文部省,もんぶしょー,もんふしょー,ょー,6
天馬,てんま,てんま,んま,3
